title,views,date_time,video_link,thumbnail_link
Highest Paying Jobs in 2022 | Ishan Sharma | Geeks Summer Carnival 2022 | GeeksforGeeks,4.8K views,Streamed 1 month ago,/watch?v=8TZykANLz9E,https://i.ytimg.com/vi/8TZykANLz9E/hqdefault.jpg
Lets Prepare for GATE'23 the Right Way | Sakshi Singhal | GeekSummerCarnival,811 views,Streamed 1 month ago,/watch?v=gKdXZg9RLeo,https://i.ytimg.com/vi/gKdXZg9RLeo/hqdefault.jpg
Interview experience at Flipkart | GeeksforGeeks,799 views,1 month ago,/watch?v=bIZIzgPox4U,https://i.ytimg.com/vi/bIZIzgPox4U/hqdefault.jpg
Learn Data Structures and Algorithms | GeeksforGeeks,31K views,1 month ago,/watch?v=EDPTs9Cr6zU,https://i.ytimg.com/vi/EDPTs9Cr6zU/hqdefault.jpg
How to Recognize which Data Structure to use in a question | Geeks Summer Carnival | GeeksforGeeks,2K views,Streamed 1 month ago,/watch?v=5NhY6UMuaQ0,https://i.ytimg.com/vi/5NhY6UMuaQ0/hqdefault.jpg
Learn Java Backend Development | Geeks Summer Carnival | GeeksforGeeks,2.1K views,Streamed 1 month ago,/watch?v=7asGNTyRxIU,https://i.ytimg.com/vi/7asGNTyRxIU/hqdefault.jpg
How I Secured AIR 9 in GATE'22 |  Tushar,559 views,Streamed 1 month ago,/watch?v=00yrMOLZ2_I,https://i.ytimg.com/vi/00yrMOLZ2_I/hqdefault.jpg
TED Talk Data Analysis Project | Data Science Master Bootcamp | Ashish Jangra,1.7K views,Streamed 1 month ago,/watch?v=2rwwLelOaIw,https://i.ytimg.com/vi/2rwwLelOaIw/hqdefault.jpg
Get Your Tickets To The Geeks Summer Carnival | GeeksforGeeks,27K views,1 month ago,/watch?v=4h8FpdjoEW4,https://i.ytimg.com/vi/4h8FpdjoEW4/hqdefault.jpg
How to prepare theory subjects for SDE interviews | Geeks Summer Carnival 2022,1.1K views,Streamed 1 month ago,/watch?v=iiXkcYKx7VA,https://i.ytimg.com/vi/iiXkcYKx7VA/hqdefault.jpg
Getting Started with Data Analysis | Data Science Master Bootcamp | Ashish Jangra,3.6K views,Streamed 1 month ago,/watch?v=twD083caDaA,https://i.ytimg.com/vi/twD083caDaA/hqdefault.jpg
Python for Data Science | Data Science Master Bootcamp | Arpit Jain,6.3K views,Streamed 1 month ago,/watch?v=oWjUJbbF0rQ,https://i.ytimg.com/vi/oWjUJbbF0rQ/hqdefault.jpg
Microsoft Azure For Absolute Beginners,1.1K views,Streamed 1 month ago,/watch?v=syQyVfJUPSE,https://i.ytimg.com/vi/syQyVfJUPSE/hqdefault.jpg
Live Mock DSA,1.1K views,Streamed 1 month ago,/watch?v=f7XSFu4jFL0,https://i.ytimg.com/vi/f7XSFu4jFL0/hqdefault.jpg
Meet Some More Winners Of Bi-Wizard Coding Contests | GeeksforGeeks,347 views,1 month ago,/watch?v=O59Ur0x97zQ,https://i.ytimg.com/vi/O59Ur0x97zQ/hqdefault.jpg
OLX Interview Preparation Strategies | Hukam Singh,766 views,Streamed 1 month ago,/watch?v=fYtIdYhQxPE,https://i.ytimg.com/vi/fYtIdYhQxPE/hqdefault.jpg
Interview Prep Strategies | PayPal,2.2K views,Streamed 1 month ago,/watch?v=MBoUWHTH_9s,https://i.ytimg.com/vi/MBoUWHTH_9s/hqdefault.jpg
Meet The Winners Of Bi-Wizard Coding Contests | GeeksforGeeks,654 views,1 month ago,/watch?v=UeSRciSwVls,https://i.ytimg.com/vi/UeSRciSwVls/hqdefault.jpg
Conversation With Young Achievers | Meet the winners of Bi-Wizard Coding Contest | GeeksforGeeks,1.6K views,1 month ago,/watch?v=CVhLbQEKx24,https://i.ytimg.com/vi/CVhLbQEKx24/hqdefault.jpg
